9999,2.48577,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.24393,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.01806,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.98776,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.18576,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.6218,9999,9999,1^3^20:1^1^1520
9999,11.7589,9999,9999,1^4^20:1^1^1520
9999,4.42024,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.393,9999,9999,1^3^20:1^1^1520
9999,11.179,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.4758,9999,9999,1^3^20:1^1^1520
9999,3.57763,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,10.5941,9999,9999,1^3^20:1^1^1520
9999,14.5349,9999,9999,1^4^20:1^1^1520
9999,4.36879,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,3.43962,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.96471,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,14.6624,9999,9999,1^3^20:1^1^1520
9999,2.6854,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.0109,9999,9999,1^3^20:1^1^1520
9999,2.64836,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.6193,9999,9999,1^3^20:1^1^1520
9999,19.4978,9999,9999,1^4^20:1^1^1520
9999,3.54775,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.7117,9999,9999,1^4^20:1^1^1520
9999,19.0637,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.24427,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,11.1478,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.7633,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,2.79279,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,14.8501,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,0.647645,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.0585,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.44168,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,3.94122,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.49771,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,11.8285,9999,9999,1^4^20:1^1^1520
9999,4.29301,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.6835,9999,9999,1^3^20:1^1^1520
9999,10.696,9999,9999,1^4^20:1^1^1520
9999,14.1391,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.6405,9999,9999,1^3^20:1^1^1520
9999,7.92976,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.28914,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.22235,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.45997,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,5.6143,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.6417,9999,9999,1^3^20:1^1^1520
9999,6.85877,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,1.22141,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.1702,9999,9999,1^3^20:1^1^1520
9999,15.9485,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
